City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,horsham,51.064,-0.3272,51.314000000000036,94,75,4.63,GB,1678363569
217,tanete,-3.9443,119.7848,76.85600000000002,87,72,1.26,ID,1678363570
218,iqaluit,63.7506,-68.5145,10.130000000000042,92,75,8.23,CA,1678363572
219,sulechow,52.0836,15.6251,36.64400000000008,75,100,4.12,PL,1678363573
220,tonj,7.2737,28.6822,105.44000000000003,15,90,2.46,SS,1678363575
221,itaituba,-4.2761,-55.9836,75.36200000000005,100,75,0.0,BR,1678363427
222,dillingen,49.35,6.7333,55.11200000000006,82,100,7.47,DE,1678363578
223,gemena,3.25,19.7667,88.98800000000004,42,99,1.73,CD,1678363579
224,koslan,63.4564,48.8989,24.638000000000044,96,100,3.15,RU,1678363581
225,port moresby,-9.4431,147.1797,78.22400000000002,83,20,2.57,PG,1678363327
226,east london,-33.0153,27.9116,79.73600000000008,61,0,2.57,ZA,1678363583
227,santo domingo,18.5001,-69.9886,74.03000000000004,78,48,2.24,DO,1678363509
228,yellowknife,62.456,-114.3525,-3.477999999999966,77,100,2.57,CA,1678363287
229,majene,-3.5403,118.9707,79.10600000000002,83,79,1.51,ID,1678363589
230,te anau,-45.4167,167.7167,49.94600000000005,91,21,0.89,NZ,1678363590
231,ullal,12.8,74.85,94.15400000000005,31,73,2.57,IN,1678363592
232,hambantota,6.1241,81.1185,88.142,70,20,6.17,LK,1678363593
233,joensuu,62.6012,29.7632,16.28600000000007,59,0,5.81,FI,1678363595
234,kahului,20.8947,-156.47,71.61800000000008,70,100,6.17,US,1678363597
235,remigio,-6.9333,-35.7833,76.28000000000004,63,64,7.36,BR,1678363599
236,khatanga,71.9667,102.5,-14.745999999999945,97,100,5.04,RU,1678363600
237,cayenne,4.9333,-52.3333,82.43600000000006,74,20,3.09,GF,1678363602
238,ribeira grande,38.5167,-28.7,63.77000000000006,94,75,12.96,PT,1678363603
239,pitimbu,-7.4706,-34.8086,86.59400000000008,65,87,6.37,BR,1678363605
240,gamba,-2.65,10.0,85.13600000000007,66,48,3.69,GA,1678363606
241,noumea,-22.2763,166.4572,75.18200000000002,72,1,3.55,NC,1678363607
242,kruisfontein,-34.0033,24.7314,75.88399999999999,57,0,6.15,ZA,1678363610
243,rapu-rapu,13.1866,124.1256,79.08800000000005,75,10,5.51,PH,1678363611
